Ukrainian,English
баба,woman
батько,father
берег,shore
бік,side
біль,pain
бог,God
брат,brother
будинок,house
вечір,evening
вигляд,appearance
війна,war
вікно,window
вітер,wind
вогонь,fire
вода,water
волосся,hair
воля,will
ворог,enemy
вулиця,street
вухо,ear
гість,guest
година,hour
голова,head
голос,voice
гора,mountain
гроші,money
губа,lip
двері,door
двір,court
день,day
дерево,tree
дитина,child
дівчина,girl
дід,grandfather
діти,children
до,to
долоня,palm
дорога,road
друг,friend
дружина,wife
думка,opinion
дух,spirit
душ,shower
душа,soul
дядько,uncle
життя,life
жінка,woman
земля,land
зуб,tooth
ім'я,name
історія,history
йога,yoga
камера,cell
кімната,room
кінець,the end
кінь,horse
коліно,knee
край,land
кров,blood
крок,step
лист,letter
лице,face
ліжко,bed
лікар,doctor
ліс,forest
люди,people
людина,man
мама,mother
мати,have
матір,mother
машина,machine
мить,moment
місто,city
місце,place
Місяць,Moon
мова,language
море,sea
небо,sky
німець,German
ніс,nose
ніч,night
нога,leg
обличчя,face
око,eye
палець,finger
пан,Mr.
плече,shoulder
повітря,air
погляд,view
поле,field
почуття,sense
правда,truth
професор,professor
раз,time
ранок,morning
рік,year
річ,thing
робота,work
розмова,conversation
рот,mouth
рука,hand
рух,movement
світ,world
світло,light
село,village
серце,heart
сила,power
син,son
слід,trace
слово,word
сльоза,tear
смерть,death
сон,sleep
сонце,sun
спина,back
справа,case
степ,steppe
стіл,table
стіна,wall
темрява,darkness
тисяча,thousand
тіло,body
товариш,friend
тога,toga
том,volume
увага,warning
хата,cottage
хвилина,minute
хліб,bread
хлопець,boy
час,time
чоловік,man
школа,school
шлях,way
щастя,happiness